,Unnamed: 0,название,Год выхода,Жанр,Тип,Количество серий,Описание
578,578, Ускоренный мир ОВА / Accel World OVA [1-2 из 2], 2012, приключения, OVA, 2 (30 мин.)," Хару, или Харуюки Арита, – больше не жалкий неудачник, переживающий из-за маленького роста и избыточного веса и не видящий в себе ничего интересного. Нет, теперь он – крутой игрок, который вместе с вице-президентом школьного совета Куроюкихимэ покоряет виртуальную реальность. Очень скоро этим двоим предстоит напрячь мозги и виртуальные мускулы, чтобы разобраться с рядом новых проблем, неизбежно возникающих перед крутыми геймерами, а также справиться с некоторыми разногласиями. После того, как в школьной локальной сети появляется хулиган, Харуюки и Куроюкихимэ решают разобраться с ним и положить конец бесчинствам. Проблема в том, что в последнее время командная работа у наших героев получается не особенно хорошо"
579,579," Говорю Же, У Меня Не Встает! / Dakara Boku wa, H ga Dekinai. [1-12 из 12]", 2012," комедия, мистика, романтика, этти", ТВ, 12 (25 мин.)," На первый взгляд Рёскэ Кага – вполне адекватный молодой человек семнадцати лет, учащийся в старшей школе. Если бы только люди могли проникать в разум друг друга! Любой человек, ознакомившийся с фантазиями Рёскэ Каги, сразу понял бы, что имеет дело с необычным человеком. Как и положено всем юношам его лет, Рёскэ постоянно погружен в эротические фантазии, и в этом нет ничего особенного, однако количество и откровенность этих самых фантазий вкупе с порой несдержанным поведением самого Рёскэ в конечном итоге настроили против него всех знакомых девушек. Кто бы мог подумать, что эта черта Рёскэ привлечет к нему сверхъестественных существ, причем не инкубов или суккубов, а самых настоящих богов смерти? Тем не менее, так и есть"
580,580, Боруто: Фильм Наруто / Boruto: Naruto The Movie [1 из 1] [OVA 1 из 1], 2015," приключения, боевые искусства, сёнэн", полнометражный фильм, 1 (90 мин.)," История мальчика, который стал легендой, осталась позади. Наруто вырос, исполнил свою главную мечту, стал Хокагэ и обрел любовь и уважение в лицах не только своей деревни, но и всего мира. На посту главного героя в этот раз его молодой сын по имени Боруто. В папу он пошел только упрямством, но не имеет таких же целей и амбиций, а так же презирает звание Кагэ. Вообще из-за того, что его отец лидер деревни, Боруто в какой-то степени возненавидел его. Классическая сцена, когда отец ставить привыше всего свой долго, днями пропадает на работе, а дети скучают до такой степени, что начинают ненавидеть. На фоне всего этого, наш привычный мир уже давно изменился. Время его не пощадило. Технологии развиваются с молниеносной скоростью оставляя за собой привычный уклад. Так например, совсем недавно было создано устройство, которое позволяло шиноби вообще забыть про тренировки нинджуцу. Оно определенным способом могло воспроизводить любую технику, что значительно облегчает работу рядового шиноби. Мир менялся и это было хорошо, ибо новый порядок исполнил мечту давних предков, установил гармонию на Земле, мир между пятью великими странами и даровал спокойствие всем. Но долго ли это будет продолжатся? Нет. Очередной злодей уже не за горами и наших героев ждет новая битва!"
581,581, Сага о Гуине / Guin Saga [1-26 из 26], 2009," приключения, фэнтези", ТВ, 26 (25 мин.)," Аниме, снятое по целому ряду лайт-новел Каору Кусимато.Сюжет повествует нам о падении королевской монархии государства Парро, его захватили монгаулы и жестоко расправились с королевской семьей. Однако верный слуга своего государства и по совместительству придворный маг сумел отправить в безопасное место двух наследников «голубой» крови-Ремуса и Ринду. Но процесс телепортации из-за чего-то пошел не так и ребята оказались в опаснейшем лесу-Рид, где полно ненасытных зверей и разбойников. На помощь к бизнецам подоспел таинственный воин в леопардовой маске-Гуин. Гуин также был отвергнут своим племенем, он потерял память, но изо всех сил борется и хочеть восстановить справедливость. Гуин и бизнецы быстро подружились, они стали делить невзгоды и радости вместе, довольствоваться малым и жить в гармонии с природой. Вместе они побеждают изменников трона Парро и дают отчаянный отпор всем своим недругам. И конечно же героям не дает покоя наличие у Гуина леопардовой маски? Почему он не может снять ее? Все ответы на вопросы они найдут несколько позже."
582,582, Плод Грисаи / Grisaia no Kajitsu [1-13 из 13], 2014," приключения, романтика, драма", ТВ, 13 (25 мин.)," Однажды Юуджи Казами, парень с непростой судьбой, успевший плотно поработать с министерством обороны, принял важное решение"
583,583, Черный полюс Брюнхильды (спешл) / Gokukoku no Brynhildr Special [1 из 1], 2014," приключения, фантастика, драма", ТВ-спэшл, 1 (21 мин.)," В астрономическом клубе, приютившем под своей крышей сбежавших из лаборатории ведьм, разгораются нешуточные страсти. После того, как Хацуна на глазах у подруг призналась Рёте в любви и поцеловала его, остальные девушки крепко призадумались о своих взаимоотношениях с единственным парнем в клубе и своим спасителем. И кончились эти раздумья настоящим состязанием"
584,584, Непутёвый ученик в школе магии / Mahouka Koukou no Rettousei [1-26 из 26], 2014," школа, сёнэн, фантастика, приключения", ТВ, 26 (25 мин.)," На дворе альтернативного мира 2095 год. Перед нами та же земная Япония, но только с магическим уклоном. Для любого аниме магия стала абсолютной нормой. Так вот, тут не просто магия, а магия, которая тесно переплетается с наукой и магические штучки так или иначе связаны с ней. Магией здесь могут пользоваться практически все, а сами волшебники составляли значительную боевую мощь войска любого государства. Так же магия используется и в других отраслях. И были во всем мире созданы специальные школы и университеты, где обучали контролировать и пользоваться магией. В одно такое учреждение и поступают наши главные герои. Их имена Миюки и Татсуя Шиба. Оба одаренные волшебники, но вот только Татсуя был больше теоретик, а Миюки очень хорошо давалась практика. Они поступили в одну из самых авторитетных старших школ Японии. Там старшеклассники делились на два типа магов"
585,585, Волейбол!! ОВА / Haikyuu!! OVA [1-2 из 2], 2015," спорт, комедия, повседневность", OVA, 1 (25 мин.)," Когда Шоё Хинате, влюбленному в волейбол, пришла пора поступать в старшую школу, он недолго думая выбрал Карасуно – место, где учился и играл в волейбол его личный герой, Маленький Гигант. Там Хината не только стал частью отличной команды, но и получил возможность сразиться на игровой площадке с игроками из других известных школ. Пожалуй, самыми важными противниками стали для команды Карасуно ребята из Нэкомы – школы-соперницы Карасуно, с которой давно не доводилось сыграть на равных. Как и парням из Карасуно, волейболистам Нэкомы есть, куда расти. Рядовым игрокам требуется постоянная работа над собой, гениальный связующий предпочитает волейболу видеоигры и в команде остается по большей части из-за лучшего друга, а самопровозглашенный ас японско-русского происхождения... впрочем, Лев Хайба заслуживает отдельного разговора. С ростом и силой у него полный порядок, но защита и нападение страдают по всем фронтам, а поведение у Хайбы ничуть не солиднее, чем у Хинаты. Словом, и Карасуно, и Нэкоме предстоят долгие часы тренировок – в конце концов, весна все ближе, а с ней начнется и новый спортивный сезон."
586,586, Детектив оборотень Инаба / Cuticle Tantei Inaba [1-12 из 12], 2013," комедия, детектив", ТВ, 12 (25 мин.)," Однажды в японской полиции было придумано совершенное оружие против преступности – детектив-оборотень. Это такой же обычный полицейский как и все остальные, но только он способен частично превращаться в оборотня-волка и наделять себя нечеловеческими способностями. Один из таких детективов, бывшая цепная игрушка полиции – Инаба Хироши. Он был лучший в это деле и был способен узнать все о человеке по одному лишь волосу.  Но он отошел от дел после того как его братик Харука куда-то пропал. Он открыл свое детективное агентство и нанял двух ассистентов - Нозаки Кей и Сосаки Юта. Кёй был обычным подростком 16-ти лет, помогал во всем и очень любил кошек. Юта же был трансвеститом и всегда ходил в женской одежде. Жили они спокойно жизнью, пока к Инба не пришел его бывший напарник - инспектор Огино. Ему нужна была помощь от Инабы в поимке особо опасного преступника – Дона Валентина. Он уже ограбил множество банков и ни разу не был пойман. Вместо украденных денег он подсовывал фальшивые Ен. Дон был козлом в прямом смысле этого слова. Двуногий козел с рогами и в плаще графа Дракулы. Сначала Инаба во всю отказывался, да и Юта-кун не особо любил Огино, просто мечтал его убить. Но в конечном итоге Инаба согласился поймать Дона во, чтобы, то не стало! Сразу же после первой встречи стало ясно, что Дон и Инаба равные по силе и противостояние будет суровым и беспощадным!"
587,587, Блеск стекла / Crystal Blaze [1-12 из 12], 2008," приключения, фантастика, детектив", ТВ, 12 (25 мин.)," Невзрачный город-свалка, расположенный в провинции крупного мегаполиса, всего лишь точка на карте страны. Здесь живут отшельники общества, которых гнетут проблемы остальных и заставляют впадать в уныние. Вот наши главные герои"
588,588, Эф - история мелодий / Ef - A tale of melodies [1-12 из 12], 2008," романтика, драма", ТВ, 12 (25 мин.)," Главные герои, живущие в двух разных полушариях, смогли преодолеть сложности, которые свалились на них в первом сезоне. Не обошлось без помощи высших сил в лице Химуры и Юко, хранителей городов - близнецов. Вот только откуда они наделены такой властью и силой, и есть ли  них право вмешиваться в судьбы людей. Второй сезон открывает ширму тайны, сплетает воедино все истории и сюжетные линии, объясняет природу городов-близнецов, как отражение друг друга. Чтобы понять всю историю, нужно окунуться в прошлое, когда Юко и Химура были детьми. Их жизнь в детстве и школьные годы была далеко не великолепна. Вместе с тем, на грани прошлого и будущего происходит еще одна история"
589,589, Голго-13 / Golgo 13 [1-50 из 50], 2009," приключения, детектив, драма", ТВ, 50 (25 мин.)," Профессиональный киллер Дьюк Того, работающий под псевдонимом «Голго 13», имеет весьма специфическую сферу деятельности, где нет друзей. Есть только те, кто заказывает убийства, те, кого он убивает, кто желает отомстить Дьюку и те, кто мечтает поймать этого неуловимого преступника. Его жертвой может оказаться кто угодно"
590,590, Голго-13: Королева пчел / Golgo 13: Queen Bee [1 из 1], 1998," приключения, драма", OVA, 1 (60 мин.)," Того Дьюк, киллер, которых еще не видел свет. Его профессионализм не оспорим, его репутация непоколебима, его задания – всегда заканчиваются успехом. Этот человек по прозвищу «Голго 13», готов убить любого за весьма солидный гонорар, ему поручат самые сложные дела и самых сложных людей. Политики или главы мафии, бандиты или другие киллеры, ему не важно, кто станет его жертвой, какие сложности ему предстоят. Он знает, как выполнить свою работу, он не просто профессиональный убийца, но и отличный стратег. У него нет друзей, он не здоровается за руку, и всегда соблюдает меры безопасности, потому что врагом у него больше, чем жертв. На этот раз, Того Дьюк берется за очередное сложное задание – найти и обезвредить лидера партизанской армии, которая орудует в Южной Армии, - Королеву пчел. Задание опасное и сложное"
591,591, Рай Грисаи / Grisaia no Rakuen [1-10 из 10] [SP 1-5 из 5], 2015," драма, романтика, школа", ТВ," 10 (25 мин.), SP (4 мин.)"," Юджи Кадзами, в раннем возрасте потерявший родных и оказавшийся в неблагополучной семье, совершенно не похож на своих сверстников. Будучи опытным наемником, успешно выполнившим множество сложных миссий, он проигрывает обычным старшеклассникам только в одном – опыте ведения нормальной жизни подростка. Желая пожить «как все» и поучиться в старшей школе, он поступил в особую академию Михама, где судьба свела его с пятью весьма неординарными девицами, и очень скоро пожалел о своем решении – в этой старшей школе ему совершенно не удалось приобщиться к нормальной жизни. Арестованный по обвинению в терроризме, подкрепленном видеоматериалами, Юджи оказывается под крылом организации «Ичигая», где и работал в качестве наемника. Юджи уверен, что обещание, которое он дал приемной матери, выполнено, а значит, его в этом мире ничто больше не держит, однако организация, желающая извлечь пользу от своего агента, решает использовать его в своих махинациях. Что совершенно не устраивает девушек, которые учились с Юджи в Михаме и теперь намерены сделать все возможное ради его спасения."
592,592, Гуррен-Лаганн / Tengen Toppa Gurren-Lagann [1-27 из 27], 2007," приключения, фантастика, меха, драма", ТВ, 27 (25 мин.)," Уже столетия люди живут под землей, боясь природных катаклизмов (землетрясений, обвалов). Жить конечно в пещерах не самое приятное, но другого выхода у людей нет, или… Например Камина и Симон стремятся покинуть свою подземную деревню и посмотреть, что же там наверху, там где над их головами не нависает потолок из земли. И вот, однажды им выпадает такая возможность – Симон находит ключ в  виде дрели и маленького робота. С помощью этого ключа Симон заводи робота, которого он назвал Лаганном. К этой компании присоединяется Ёко, девушка из деревни Ритона, которая пытается уничтожить ганмен (боевая машина). Их приключения начинаются. Истинная причина проживания людей под землей – вовсе не природные условия, а строгий контроль популяции. Так называемый Спиральный король с помощью гибридов человека и животного (не способного) к размножению уничтожает либо излишки населения (численность жителей Земли не должна превышать 1000000 человек), либо тех, кто пытается выйти на поверхность. Только так он контролирует численность, дабы не сработал механизм, который убьет всех людей на земле. Именно против этой всей системы восстанет Камина, Симон и их соратники, которые захотят вернуть свободу человечеству."
593,593, Голго-13: Профи / Golgo 13: The Professional [1 из 1], 1983," приключения, драма", Полнометражный фильм, 1 (95 мин.)," Человек — инкогнито, загадка, тот, которого практически невозможно выследить. О нем ничего не известно, ни настоящего имени, ни возраста, ни места жительства и откуда он родом. Он — некий Того Дьюк или «Голго 13», профессиональный киллер и наемник. Он не испытывает жалости, угрызений совести или сострадания. Его работа — убивать тех, кого «заказали» недоброжелатели. Миллион долларов и он сможет убить любого, обвести вокруг пальца любую охрану, и достать человека, казалось бы, в самом безопасном месте. События разворачиваются в 80-е годы прошлого века. Это рассказ, о бездушном киллере, от рук которого погибло немало людей, о профессионале, который просчитывает все до мелочей, берется за самые сложные задание и не терпит поражений. Это история о его работе, заданиях и жертвах, о тех кто заказал убийство, о тех, кто хочет мстить и о тех, кто жаждет поймать неуловимого «одинокого волка». А как отомстить тому, у кого нет слабых мест, кого невозможно поймать, обнаружить и вычислить. Он как тень, которая сопровождает «клиента» в последние минуты  его жизни. Но даже на профессионального убийцу найдется другой наемник, который сможет отомстить."
594,594, Ура мечте! / Bang Dream! [1-13 из 13], 2017, музыкальный, ТВ, 13 (25 мин.)," Как-то раз, будучи еще совсем ребенком, Касуми Тояма услышала незабываемую песню. Эта песня под названием «Star Beat» заряжала энергией, сулила счастье и вдохновляла на свершения. В последующие годы Касуми пыталась найти столь полюбившуюся ей песню, но раз за разом терпела неудачу. Впрочем, в старшей школе она обрела нечто куда более важное"
595,595, Актеры города Мекаку / Mekakucity Actors [1-12 из 12], 2014," приключения, мистика, драма", ТВ, 12 (25 мин.)," В течение последних двух лет Шинтаро Кисараги вел жизнь почти среднестатистического хикикомори. Сидел в комнате, оставлял на форумах комментарии и препирался с Энэ – искусственным интеллектом в виде симпатичной девушки, которая поселилась в компьютере Шинтаро после того, как он открыл загадочный и-мейл. Однажды, а именно, в середине жаркого как никогда августа, в результате этих препирательств его жизнь коренным образом изменилась"
596,596, Лабиринт Грисаи / Grisaia no Meikyuu [1 из 1], 2015," романтика, комедия, драма", ТВ-спэшл, 1 (47 мин.)," В ожидании повышения Юуджи собирает необходимые документы и, написав от руки краткую автобиографию, подает их начальству. Но письменного рассказа о происхождении и его ранних годах жизни оказывается недостаточно"
597,597, Охота на призраков / Shinreigari: Ghost Hound [1-22 из 22], 2007," мистика, ужасы, драма", ТВ, 22 (25 мин.)," Трагична оказалась судьба юного Таро Комори, сына владельца заводика по производству сакэ в маленьком провинциальном городишке. Будучи еще ребенком, его и младшую сестренку похитил неизвестный, с целью выкупа. Но не дождавшись ценной добычи, похититель скончался по неизвестным обстоятельставам, неведомых полиции городка. Однако его заложники провели долгое время в заточении, так как было совершенно неизвестно, где находятся малютки. Когда детей освободили, выяснилось, что сестра Таро, погибла от ужасных условий. Однако 3-летний Таро выжил, и все 11 лет своей последующей жизни, вспоминал этот эпизод своей биографии, как кошмар. Но можно ли забыть, как тебя похитили и как твоя сестренка умирает в темном подвале? Таро Комори до сих пор видит навязчивые сновидения, которые заставляют его снова и снова вспоминать те отвратительные события и вновь прогуливаться по местам совершенного преступления. Порой сны становятся настолько реалистичными, что даже сам Таро готов поверить, будто это происходит на самом деле."
598,598, Боевые Шинки - Лунные ангелы / Busou Shinki Moon Angel [1-10 из 10], 2011," приключения, фантастика, меха", ONA, 10 (4 мин.)," Шинки – это маленькие умные роботы-девушки, которые не лишены чувств и эмоций. Они совсем крохотные – около 15 сантиметров, но при этом очень верно служат своему хозяину. Кроме мелкой работы по дому, главное для девушек – это отстоять честь хозяина в честном бою между друг другом. Каждая из них оснащена своим собственным оружием, а  невероятные сражения проходят в грандиозных местах. Девушки, учитывая их маленький рост, все видят очень масштабным и необычным, поэтому любое сражение приобретает необычный характер. Минори Чихара очень любит игру Шинки, и хочет стать настоящим профессионалом. Ее популярность в Японии настолько велика, что создатели, чтобы еще больше подогреть интерес игроков, выпустили ряд сувенирных статуэток, чтобы порадовать своих поклонников. Однажды, Минори, заметил нечто странное на ветки дерева. Оказалось, что это статуэтка Шинки и как мимо нее можно пройти. Конечно же, парень забрал ее домой, даже не подозревая, что это не игрушка, а настоящая Шинки, которую  ранили в бою. Возможно, находка Минори не случайна, и он должен принять активное участие в борьбе этих маленьких роботов."
599,599, Шумиха! / Baccano! [1-13 из 13], 2007," приключения, история, мистика", ТВ, 13 (25 мин.)," Действие сериала разворачивается в Америке, в  30-х года предыдущего столетия. Во времена Великой депрессии рост преступности был безграничным, поэтому убийство в барах, на улица, грабежи – явление вполне распространенное. А в это время, два клановых семейства никак не могут разобраться со своей территорией. Гандор и Мартильо воюют между собой"
600,600, Кланнад / Clannad [1-22 из 22], 2007," романтика, комедия, драма, школа", ТВ, 22 (25 мин.)," Тяжела жизнь подростка, претерпевшего множество лишений. Сначала у Томоя Окадзаки трагически погибла мать, потом он пережил алкоголизм отца, и, наконец, сломленный гнетом обстоятельств, сам стал первым хулиганом в школе. Ни предстоящие экзамены, ни оценки его не волнуют; Томоя слоняется по школе, делая все, что хочет. Однако жизнь его меняется, когда в школу приходит новенькая -  Нагиса Фурукава Она обожает мечтать, выпечку, разговоры с самой собой, а кроме того хочет возродить театральный кружок. Увидев эту светлую девочку Томоя начинает понимать, что встретил девушку своей мечты и, кажется, готов к новому чувству. А вскоре в жизнь Томоя ворвутся и другие герои, которые также помогут парню выбраться из депрессии. Это стародавний друг Томоэ Сунохара, сестры Ке и Ре и активная и целеустремленная девушка с созвучным именем Томое. А вскоре Томоя замечает, что вокруг него вращается множество людей, жизнь которых так или иначе переплетена с его собственной. А еще он заметил, что все причины этого лежат по сторону снов, которые видит девушка его мечты."
601,601, Кланнад (второй сезон) / Clannad After Story [1-22 из 22], 2008," романтика, комедия, драма, повседневность", ТВ, 22 (25 мин.)," Итак, перед продолжение истории о Томоэ и его друзьях. Сериал продолжает сюжетную линию, в месте обрыва первого сезона. Наши герои выросли, отдохнули на летних каникулах и готовы встречать свой последний школьный год. Многие уже приняли решение, куда поступать, но все же остается тревога за будущее в той малоизвестной взрослой жизни.  Наш главный герой Томоя Окадзаки переселился к своей девушке -  Нагисе Фурукаве, а семья девушки для него оказалась невообразимым чудом, которого он был лишен в детстве.  Только пройдя через все испытания, он понял насколько ценно, что с ним находятся близкие друзья, девушка, которой он  готов посвятить всю свою жизнь. Томоя оттаял, но его ждут новые испытания на жизненном пути. Итак, герои сериала понимают, что роль семьи в жизни человека первостепенна, и только поняв, насколько это великое искусство жить семьей, они начинают двигаться к настоящей взрослой жизни. Но на этом все не заканчивается, и главные персонажи сериала вновь встречают препятствия, с которыми успешно борятся, ведь не бывает жизнь без трудностей и потерь, такая жизнь скучна и неинтересна тем, кто свыше."
602,602, Кланнад (фильм) / Gekijouban Clannad [1 из 1], 2007," романтика, драма", полнометражный фильм, 1 (94 мин.)," Собственно, фильм Кланнад — это интерпретация первого и второго сезонов сериала. Сюжет похожи, и тем, кто хочет ознакомиться с сериалом, можно рекомендовать посмотреть именно эту компиляцию. Итак, главный герой — Томоэ, разгильдяй и неудачник, но мало, кто из его школьного окружения подозревает, что на самом деле у парня большие проблемы в семье. Мама трагически погибла, отец начал злоупотреблять спиртным и вскоре спился, а оказался Томоэ предоставлен сам себе. Теперь он делает, что хочет, бросает учебу, перестает готовиться к экзаменам, одним словом герой окутан славой ленивого двоечника. Но стоит только придти в школу загадочной Нагисе Фурукаве, как жизнь вокруг него меняется. Вначале, конечно, герой не признавал общества Нагисы, ее странные флеш-мобы и странное желание возродить театральный кружок. Но время идет, и Нагиса все чаще станет появляться в его жизни, а потом Томоэ еще и заметит, что кажется благодаря Нагисе, он начинает чувствовать вкус жизни. Он понимает, что все так ценимое Нагисой — семья, домашний быт, уют, начинают волновать его сильнее, чем раньше. Впоследствие, Нагиса становится его девушкой, и Томоэ обретает вкус к жизни, забытый со времен детства."
603,603, Вальврэйв Освободитель / Kakumeiki Valvrave [1-12 из 12], 2013," приключения, фантастика, меха", ТВ, 12 (25 мин.)," На дворе настала эра технического прогресса. Матушка Земля вздохнула с облегчением, ведь 70% ее человеческих детей, выросли и покинули родную планету в поисках других пригодных для жизни мест. Часть из них обосновались в космосе на созданной ими же планете Джиор. Это спокойное место, которое в последствие стало одной из трех великих фракций на ряду с Дорсией и Арус. Вот только Джиор был храмом порядка и мира, а другие две страны воевали между собой за территорию. Но однажды и Джиор зацепил конфликт. В 71 году по их календарю Дорсианци неожиданно напали на Джиор. Они были безжалостны и точны поэтому захват увенчался успехом, но не все было так просто. В тайных лабораториях Джиора разрабатывалось супер оружие - пилотируемый мех Вальврэйв. Ученые даже не предполагали, что за пилот будет им управлять. В местной средней школе учился парень по имени Харуто Токисима. У него была возлюбленная, которая погибла во время вторжения. Ну по крайней мере он так думал. Ослепленный ненавистью и жаждой мести он по случайному стечению обстоятельств забирается в Вальврэйв и становится способен на все. Он уничтожил часть войск Дорисии тем самым ослабив вражеский налет, но какой ценой. Костюм превратил его во что-то, что нельзя назвать человеком..."
604,604, Яркая Чихая / Chihayafuru [1-25 из 25], 2011," романтика, спорт", ТВ, 25 (25 мин.)," ЫМолодая Аясэ Чихая, будучи еще младшеклассницей выделялась на фоне остальных, своими принципиальными решениями и необычным характером. Она не уступала ни одному мальчику в любой деятельности и всегда пыталась доказать, что он чего-то стоит. У нее был лучший друг Тайчи Машима, с котором Чихая спорила по пять раз на дню. Однажды в класс к ним перевели мальчика по имени Арата Ватая, который был темной фигуркой, не с кем не общался и вообще довольно редко разговаривал. Но у него и у Чихаи нашлось общие увлечение - игра в Каруту. Это карточная игра, в которой фигурируют карточки со стихами. Они раскладываются в ряд на татами, после чего, когда начитальщик читает стих на карте, игрокам ее нужно выбить. Арата был настоящим профи, несмотря на юный возраст. С детства его дедушка - всемирный известный мастер Каруты - учил его этой игре и Арате она очень нравилась. Так, Чихая Арата и Тайчи начали постоянно играть в эту замечательную игру и стали близкими друзьями. Но настала пора им разойтись. Арата уехал в свой родной город ухаживать за больным дедушкой, Тайчи перешел в другую среднюю школу и Чихая осталась одна, но ее любовь к Каруте никуда не пропала. Ежедневные тренировки дали свой результат на одном из соревнований, где Чихая заработала титул А-класса. Сообщив об этом Арате, она узнала, что он уже давно не играет в Каруту и даже не хочет об этом разговаривать. Чихая не может оставить это все так, она хочет вернуть былые времена во что бы то ни стало."
